                       Word  Count
0                     crime    132
1             branqueamento    108
2                    artigo    103
3                   tráfico     68
4                  concurso     65
5                   acórdão     64
6                      bens     52
7                       bem     50
8                  capitais     46
9                    crimes     42
10                 jurídico     41
11                     real     37
12          estupefacientes     37
13                    autor     37
14                  justiça     32
15                   agente     31
16                  questão     30
17                     pode     29
18               precedente     28
19                    facto     28
20               infracções     27
21                recorrido     25
22                       ob     24
23                 qualquer     23
24                  sentido     22
25                    penal     22
26                jurídicos     22
27                    sobre     21
28                      lei     21
29                    assim     20
30                    outro     20
31                  prática     20
32                  direito     19
33                     pois     19
34                 condutas     19
35                  autores     19
36                     tipo     19
37                  agentes     18
38                   punido     18
39                  recurso     17
40               fundamento     17
41                  próprio     17
42                     dois     17
43                   porque     17
44                      vez     16
45                 dezembro     16
46                    forma     16
47                   parece     16
48                     caso     16
49                 processo     15
50                    deste     15
51                    mesma     15
52                 produtos     15
53                  conduta     15
54                república     15
55                  segundo     15
56                   alínea     15
57                   estado     15
58                   código     14
59             provenientes     14
60               realização     14
61                infracção     14
62                    jorge     14
63                    droga     14
64                 primeiro     13
65                  ilícito     13
66                    sendo     13
67                   diário     13
68                   legais     13
69                  decisão     13
70                      ter     13
71                   embora     13
72                     base     13
73                  punição     13
74                vantagens     13
75                fernandes     13
76                 tribunal     12
77           jurisprudência     12
78                  janeiro     12
79                 previsto     12
80                   termos     12
81                   factos     12
82                    série     12
83               diferentes     12
84               criminosas     12
85                   outros     12
86                  godinho     12
87                  diploma     11
88                 efectivo     11
89                     lado     11
90                    tipos     11
91                  posição     11
92                 tutelado     11
93              actividades     11
94                    antes     11
95                   quanto     11
96                    norma     11
97                  supremo     10
98                    março     10
99                     modo     10
100                acórdãos     10
101                   ainda     10
102           possibilidade     10
103                     tal     10
104                 relação     10
105                 objecto     10
106                   geral     10
107                 punível     10
108                   saúde     10
109                 sistema     10
110               principal     10
111                oposição      9
112             traficantes      9
113                 pessoas      9
114              traficante      9
115                  contra      9
116                    deve      9
117           relativamente      9
118                   podem      9
119                preceito      9
120                 autoria      9
121                 perante      9
122                    além      9
123                  cpenal      9
124                   junho      9
125                  pessoa      9
126                 através      9
127                   parte      9
128                lourenço      9
129                 martins      9
130                   atrás      9
131               convenção      9
132                  apenas      9
133                    dias      9
134                 artigos      8
135                próprios      8
136                   ponto      8
137               protegido      8
138                   aliás      8
139                problema      8
140                   outra      8
141                 círculo      8
142              receptação      8
143                puníveis      8
144                 diverso      8
145                   todos      8
146                   desde      8
147                   legal      8
148               expressão      8
149                conselho      8
150                  número      8
151                   pedro      8
152                  caeiro      8
153                     cit      8
154                 antónio      8
155                  secção      7
156                      ii      7
157                   ambos      7
158             corresponde      7
159                      aí      7
160                seguinte      7
161                   dessa      7
162           expressamente      7
163                  típico      7
164                   lugar      7
165                respeita      7
166                  origem      7
167               protecção      7
168                  normas      7
169                  afinal      7
170                    visa      7
171                  razões      7
172             precedentes      7
173                 pública      7
174              subjacente      7
175              financeiro      7
176              estruturas      7
177                    cuja      7
178                  regime      7
179                    aqui      7
180                    tese      7
181              utilização      7
182                 auxílio      7
183               alexandre      7
184                    segs      7
185                    josé      7
186               proferido      6
187                enquanto      6
188              existência      6
189                soluções      6
190                   poder      6
191                confisco      6
192            ilicitamente      6
193                   desse      6
194                capítulo      6
195               propósito      6
196                 valores      6
197                    dito      6
198                   certo      6
199                    novo      6
200                 daquela      6
201               aplicação      6
202              actividade      6
203                  efeito      6
204               posterior      6
205               conclusão      6
206                 daquele      6
207           interpretação      6
208                relações      6
209                    tais      6
210             formalmente      6
211                situação      6
212               contrário      6
213               princípio      6
214              protegidos      6
215                   ordem      6
216                  fundos      6
217                  manuel      6
218                 cometer      6
219                 simples      6
220             financeiras      6
221                    logo      6
222                 conclui      6
223                   vimos      6
224               sociedade      6
225               directiva      6
226                 combate      6
227                projecto      6
228               henriques      6
229            participante      6
230                 entende      6
231           favorecimento      6
232                 pessoal      6
233                 eduardo      6
234               consunção      6
235           administração      6
236              figueiredo      6
237                ilícitos      5
238                  melhor      5
239                  exclui      5
240                 directa      5
241                    todo      5
242              praticados      5
243                   lesam      5
244                   causa      5
245           efectivamente      5
246                   saber      5
247                verifica      5
248                    duas      5
249                    cujo      5
250                 entanto      5
251              considerou      5
252                    cada      5
253                   vista      5
254                  sempre      5
255                dinheiro      5
256                 solução      5
257                  apesar      5
258              legislador      5
259                   dizer      5
260                     ora      5
261                arguidos      5
262               possíveis      5
263                  alguns      5
264               instância      5
265               conversão      5
266           criminalidade      5
267                   nesta      5
268               consumada      5
269                   lesão      5
270                   surge      5
271             branqueador      5
272                  lucros      5
273                 própria      5
274                jurídica      5
275               económico      5
276               legítimas      5
277               tutelados      5
278                      si      5
279                 todavia      5
280                 alíneas      5
281                doutrina      5
282                setembro      5
283                 produto      5
284            organizações      5
285                  níveis      5
286                   tanto      5
287                   menos      5
288                criminal      5
289                    sido      5
290                   regra      5
291               interesse      5
292                material      5
293                 correia      5
294                   pleno      4
295                 secções      4
296               criminais      4
297               publicado      4
298                  deverá      4
299               seguintes      4
300                 decorre      4
301                   neste      4
302              portuguesa      4
303                 revogou      4
304                 apontar      4
305          circunstâncias      4
306              delituosos      4
307                epígrafe      4
308                  poderá      4
309               operações      4
310                diversas      4
311                 ilícita      4
312                adoptada      4
313               consentir      4
314               objectivo      4
315                especial      4
316               constitui      4
317                   acima      4
318                   trata      4
319                hipótese      4
320             perspectiva      4
321              ministério      4
322                 público      4
323                portanto      4
324                diversos      4
325                  tutela      4
326              significar      4
327                entender      4
328                presente      4
329                  refere      4
330                anterior      4
331              constituem      4
332                   porém      4
333                fortunas      4
334                circuito      4
335               corromper      4
336              contaminar      4
337               estrutura      4
338                   desta      4
339                actuação      4
340                  duarte      4
341               realidade      4
342              comunidade      4
343                natureza      4
344                 capital      4
345                     sob      4
346                   ideia      4
347                   perda      4
348                   então      4
349                  citado      4
350            dissimulação      4
351                     via      4
352                   venda      4
353                   nessa      4
354                   resto      4
355                aparente      4
356              interesses      4
357                proteger      4
358                praticar      4
359                   vezes      4
360                      in      4
361                  outras      4
362                     diz      4
363              objectivos      4
364              comerciais      4
365             estabelecer      4
366           identificação      4
367              impunidade      4
368                  título      4
369             respectivas      4
370               situações      4
371                  gaspar      4
372             diversidade      4
373                concreta      4
374                vitalino      4
375                   canas      4
376               repressão      4
377             significado      4
378                     ver      4
379                     sim      4
380             pluralidade      4
381                  haverá      4
382                  grande      4
383                oliveira      4
384                  certas      4
385                eficácia      4
386                 rodrigo      4
387                santiago      4
388                     ano      4
389                  versão      4
390                  santos      4
391                 síntese      3
392                 decidiu      3
393                referido      3
394                 opostas      3
395                  fixada      3
396             actualmente      3
397                 poderem      3
398                julgados      3
399              recorrente      3
400                redacção      3
401                previsão      3
402               terceiras      3
403                proveito      3
404             posteriores      3
405              realizadas      3
406               resolução      3
407            entendimento      3
408                  evitar      3
409                 motivos      3
410               referidos      3
411                    tudo      3
412                questões      3
413                primeira      3
414          proporcionados      3
415                   agora      3
416             intervenção      3
417           fundamentação      3
418               porquanto      3
419                   prova      3
420             dispositivo      3
421               relevante      3
422            naturalmente      3
423             delimitação      3
424               afirmação      3
425             disposições      3
426                    fica      3
427                 colocar      3
428                 excluir      3
429         necessariamente      3
430                resposta      3
431           prolongamento      3
432                   acção      3
433            incriminação      3
434              realidades      3
435                  global      3
436                integrar      3
437              argumentos      3
438            problemática      3
439               confirmou      3
440             necessidade      3
441            conformidade      3
442           circunstância      3
443            conhecimento      3
444                 aditado      3
445               restantes      3
446              considerar      3
447               materiais      3
448                 diversa      3
449                 obtidos      3
450                  física      3
451                psíquica      3
452              respectiva      3
453                   tendo      3
454              referência      3
455          criminalização      3
456                 tutelar      3
457                   meios      3
458           aparentemente      3
459                 exemplo      3
460                 atenção      3
461                bancário      3
462                   quais      3
463                  ideias      3
464            contaminação      3
465          aproveitamento      3
466                  frente      3
467              permissiva      3
468            preocupações      3
469              princípios      3
470                    onde      3
471                 sabendo      3
472                 dúvidas      3
473                   força      3
474                  vários      3
475                  assume      3
476                     uns      3
477                      ne      3
478            generalidade      3
479                   usada      3
480                portugal      3
481              publicação      3
482               preâmbulo      3
483                   viena      3
484                  privar      3
485                 dedicam      3
486              suprimindo      3
487                   móbil      3
488                evitando      3
489                   passo      3
490              acumuladas      3
491                  europa      3
492                detecção      3
493             precursores      3
494                extorsão      3
495                 menores      3
496                  prisão      3
497                superior      3
498                    anos      3
499                catálogo      3
500                 típicos      3
501         comparticipação      3
502                  medida      3
503           especialmente      3
504                  perigo      3
505                fenómeno      3
506                  altura      3
507               prevenção      3
508                expressa      3
509                excluído      3
510                 deveria      3
511             respectivos      3
512                   final      3
513               discussão      3
514                 obtidas      3
515                terceiro      3
516                    deva      3
517                   certa      3
518                segmento      3
519                   prevê      3
520               pretensão      3
521                estadual      3
522                 unidade      3
523                 afirmar      3
524                  aponta      3
525               diferente      3
526            instituições      3
527                ascensão      3
528              modalidade      3
529                 diverge      3
530                garantir      3
531               assegurar      3
532               categoria      3
533               conseguir      3
534            perigosidade      3
535                   costa      3
536                  dentro      3
537                    quer      3
538               sustentam      3
539                     del      3
540                sumários      3
541               fascículo      3
542                     the      3
543                     loc      3
544                 acordam      2
545               rodrigues      2
546               gonçalves      2
547                   autos      2
548                 fixação      2
549                    maio      2
550                 afirmou      2
551         respectivamente      2
552              assentando      2
553                  penais      2
554             conferência      2
555               alegações      2
556                proposta      2
557                  existe      2
558                 pratica      2
559           destinatários      2
560            intervenções      2
561              consumação      2
562               revogação      2
563           controvertida      2
564                 intuito      2
565              adquiridos      2
566               conatural      2
567                   cunho      2
568              aquisitivo      2
569                 impunes      2
570              mencionado      2
571                     iii      2
572                   clara      2
573                 exposto      2
574              interposto      2
575              detrimento      2
576                conforme      2
577                 regular      2
578        consequentemente      2
579                 devemos      2
580                assentam      2
581                 verdade      2
582                pratique      2
583               referidas      2
584                entendeu      2
585               publicada      2
586                    nada      2
587          correspondente      2
588               confronto      2
589                traduziu      2
590               aquisição      2
591                    nome      2
592                esconder      2
593                  lógica      2
594                concluir      2
595       independentemente      2
596                 ajuizar      2
597                 aptidão      2
598           preenchimento      2
599               cometeram      2
600                  podiam      2
601                   letra      2
602                 análise      2
603          designadamente      2
604               motivação      2
605             reafirmação      2
606                elemento      2
607        responsabilidade      2
608              intercedem      2
609                  impõem      2
610                   maior      2
611                admissão      2
612                   puder      2
613                afastada      2
614              pronunciou      2
615                dissemos      2
616                  coloca      2
617                   enfim      2
618                 central      2
619                    nele      2
620                agravado      2
621                 punidos      2
622                 referiu      2
623                respeito      2
624               convertem      2
625              incidência      2
626                mediante      2
627                   nunca      2
628             susceptível      2
629              propugnava      2
630                assumida      2
631                 importa      2
632              subjectivo      2
633                integram      2
634                   vemos      2
635                  buscar      2
636             fundamentos      2
637                   conta      2
638                   forte      2
639               argumento      2
640                  fortes      2
641                  cremos      2
642               praticado      2
643                 adiante      2
644                    pese      2
645                 cometeu      2
646                geradora      2
647               distinção      2
648              simultâneo      2
649               liberdade      2
650              individual      2
651                  noutro      2
652                 enormes      2
653                    toda      2
654              financeira      2
655                próprias      2
656                   novos      2
657                    irão      2
658             exactamente      2
659               contrária      2
660                     vaz      2
661                monteiro      2
662                 membros      2
663               criminosa      2
664          posteriormente      2
665                 gerando      2
666                 fortuna      2
667               entidades      2
668                  provêm      2
669             branqueados      2
670            susceptíveis      2
671                  partir      2
672                 momento      2
673                consegue      2
674             resultantes      2
675                   quase      2
676             autoridades      2
677                 poderão      2
678                  limita      2
679              introdução      2
680              económicas      2
681              aumentando      2
682                  começa      2
683                     tão      2
684                    sabe      2
685             relacionada      2
686                   fazer      2
687               definição      2
688              doutrinais      2
689                   feito      2
690            constituiria      2
691                   rombo      2
692                   vulto      2
693                usufruto      2
694                  centro      2
695                 difícil      2
696                  gerais      2
697              finalidade      2
698               essencial      2
699                    algo      2
700         suficientemente      2
701                conteúdo      2
702              normativas      2
703            directamente      2
704             traficância      2
705           transferência      2
706                   actos      2
707                    vara      2
708                    tema      2
709               económica      2
710           estabelecidos      2
711                   havia      2
712               condenado      2
713                 relator      2
714                 vencido      2
715                 outubro      2
716            argumentação      2
717                   corpo      2
718            proveniência      2
719                correcta      2
720               proventos      2
721              económicos      2
722                violação      2
723                     bis      2
724                    idem      2
725              provimento      2
726                   razão      2
727              respectivo      2
728                transpor      2
729                 interna      2
730                  regras      2
731                assinada      2
732           internacional      2
733               incentivo      2
734                 permita      2
735          transnacionais      2
736                 invadir      2
737               sequência      2
738                novembro      2
739              terrorismo      2
740               nucleares      2
741                   rapto      2
742             pornografia      2
743              envolvendo      2
744               corrupção      2
745                    pena      2
746                  limite      2
747                  máximo      2
748                cláusula      2
749              finalmente      2
750                     par      2
751                 contudo      2
752            complementar      2
753                 offense      2
754              constantes      2
755                prevista      2
756                alargado      2
757                decisivo      2
758                 veremos      2
759                     vem      2
760               gravidade      2
761                    suma      2
762                     vai      2
763                intenção      2
764                  acerca      2
765           enquadramento      2
766                  formas      2
767                  partes      2
768                  prever      2
769                    leis      2
770                 típicas      2
771               descritas      2
772                   texto      2
773                   fonte      2
774            participação      2
775                  nessas      2
776                  delito      2
777                 escrito      2
778               predicate      2
779            configuração      2
780                  actuar      2
781                continua      2
782                silêncio      2
783               entendido      2
784             preenchesse      2
785                   posto      2
786                    veio      2
787                 fornece      2
788               exposição      2
789                inserção      2
790               diferença      2
791                 itálico      2
792                inovação      2
793              acrescenta      2
794               faculdade      2
795                idêntica      2
796                   devia      2
797                chamados      2
798               estaremos      2
799              formulação      2
800              porventura      2
801                  outrem      2
802                  dessas      2
803                 fórmula      2
804             socialmente      2
805                     fim      2
806                 natural      2
807              constituir      2
808         especificamente      2
809               cometidos      2
810                comissão      2
811                revisora      2
812               professor      2
813                  releva      2
814                   mundo      2
815                   valor      2
816                  básico      2
817               averiguar      2
818                daquelas      2
819             sublinhamos      2
820                diplomas      2
821            prosseguidos      2
822                nacional      2
823             divergência      2
824                 gonçalo      2
825                    melo      2
826                bandeira      2
827                  afirma      2
828         impossibilidade      2
829            branqueadora      2
830               dirigidas      2
831               resultado      2
832                 consumo      2
833              acumulação      2
834                  social      2
835            mediatamente      2
836          essencialmente      2
837               credíveis      2
838                 milhões      2
839                    país      2
840               acompanha      2
841                   infra      2
842                aparelho      2
843              judiciário      2
844                  certos      2
845              específico      2
846                atingido      2
847                   devem      2
848                 vontade      2
849              aproveitar      2
850                  normal      2
851        substancialmente      2
852              resultados      2
853           funcionamento      2
854                sistemas      2
855                     boa      2
856             irrelevante      2
857                 mediata      2
858                  ofende      2
859                    nova      2
860                  acções      2
861               alinhados      2
862                deixamos      2
863                 apontem      2
864               considera      2
865                conceito      2
866                imediato      2
867              pretendido      2
868                   ficou      2
869               referimos      2
870              diferencia      2
871                 normais      2
872                  função      2
873             apropriação      2
874              organizada      2
875                   jeito      2
876             organização      2
877                desvalor      2
878                   nível      2
879                   coisa      2
880           concretamente      2
881                consenso      2
882              compreende      2
883                 nenhuma      2
884                      uc      2
885                jescheck      2
886                     vol      2
887                   terem      2
888                      el      2
889                 inglesa      2
890              assembleia      2
891                  lisboa      2
892                    that      2
893                  edição      2
894                gabinete      2
895             planeamento      2
896             coordenação      2
897                   euros      2
898                  drogas      2
899                   pires      2
900                 pereira      2
901                   maria      1
902                   alice      1
903             devidamente      1
904            identificada      1
905                interpôs      1
906          extraordinário      1
907              colectânea      1
908                  alegou      1
909                vertidos      1
910                     dem      1
911                concluiu      1
912                versando      1
913                recebido      1
914              determinou      1
915          prosseguimento      1
916             notificados      1
917                sujeitos      1
918             processuais      1
919            interessados      1
920                disposto      1
921            apresentaram      1
922             confirmação      1
923                decidido      1
924              formulando      1
925                   algum      1
926            incriminados      1
927                terminou      1
928              conclusões      1
929               normativa      1
930              designados      1
931                 aludido      1
932               interfere      1
933          indirectamente      1
934                pacífico      1
935            reproduzidos      1
936            nomeadamente      1
937              realizarão      1
938               indicação      1
939               colocando      1
940                   crise      1
941                plasmado      1
942             consagrando      1
943                 devendo      1
944                    face      1
945                proceder      1
946             consonância      1
947                   douto      1
948                colhidos      1
949                  vistos      1
950                   visto      1
951                  cumpre      1
952                 decidir      1
953               decidindo      1
954             verificação      1
955           processamento      1
956                 vincula      1
957                 começar      1
958                 reexame      1
959                  destas      1
960          interlocutório      1
961               descritos      1
962                 optaram      1
963                aludidas      1
964              verificava      1
965               apontados      1
966              normativos      1
967                prolação      1
968              introduziu      1
969             modificação      1
970             legislativa      1
971                 operada      1
972                 influiu      1
973               abordagem      1
974             acrescentou      1
975               reportado      1
976              apreciadas      1
977               idênticas      1
978           concretizaram      1
979                  ganhos      1
980               automóvel      1
981                 imóveis      1
982           intermediário      1
983                operação      1
984                tendente      1
985                conjunto      1
986                  formal      1
987              dissimular      1
988                 crítica      1
989                 procede      1
990                    leva      1
991            particulares      1
992               contornos      1
993                  chegou      1
994           desnecessário      1
995             certificada      1
996                 exigida      1
997                   disse      1
998                 versará      1
999             substantiva      1
1000                precede      1
1001           aparecimento      1
1002                 traduz      1
1003                 tarefa      1
1004                negação      1
1005                   juiz      1
1006             competindo      1
1007                   cabe      1
1008            identificar      1
1009               violadas      1
1010                  recuo      1
1011         preponderância      1
1012              amplitude      1
1013          proporcionada      1
1014              proferida      1
1015                 julgar      1
1016              concretos      1
1017            pressuposto      1
1018             necessário      1
1019              excluídos      1
1020          contradizendo      1
1021      irremediavelmente      1
1022               eventual      1
1023             argumentar      1
1024                 omisso      1
1025                aceitar      1
1026                excluiu      1
1027                  criar      1
1028              interessa      1
1029               exclusão      1
1030               negativa      1
1031               arredado      1
1032          participantes      1
1033                colocou      1
1034              apreciado      1
1035             justamente      1
1036             impugnação      1
1037              sublinhou      1
1038           discordância      1
1039           benevolência      1
1040             unicamente      1
1041                 havido      1
1042            configurado      1
1043                    etc      1
1044        originariamente      1
1045                 aludiu      1
1046               envolvem      1
1047                 núcleo      1
1048           ramificações      1
1049              múltiplas      1
1050              complexas      1
1051               cobrindo      1
1052               variadas      1
1053              assumindo      1
1054             cambiantes      1
1055              distintas      1
1056                matizes      1
1057               exigindo      1
1058                  visam      1
1059            entendermos      1
1060               apreciou      1
1061               resolveu      1
1062              submetida      1
1063             julgamento      1
1064              respondeu      1
1065          negativamente      1
1066             absolvição      1
1067              reclamava      1
1068            preencherem      1
1069                   tido      1
1070              sublinhar      1
1071               dimensão      1
1072              enunciada      1
1073           relacionadas      1
1074                 ocorra      1
1075                  obste      1
1076      descriminalização      1
1077            tipificadas      1
1078             abrangidas      1
1079               conflito      1
1080                  tirou      1
1081            transcreveu      1
1082             longamente      1
1083               baseados      1
1084            constatação      1
1085                 partem      1
1086                 tomada      1
1087                  dados      1
1088                partida      1
1089                indicam      1
1090             existissem      1
1091             apontassem      1
1092              existirem      1
1093                 impune      1
1094               cidadãos      1
1095                geradas      1
1096              inseridas      1
1097              comercial      1
1098                  pondo      1
1099                  gerar      1
1100            refinanciar      1
1101             reforçando      1
1102             capacidade      1
1103                 chegam      1
1104            discorrendo      1
1105                escreve      1
1106               colocada      1
1107                 deixar      1
1108               positiva      1
1109              distintos      1
1110           reflexamente      1
1111                dizendo      1
1112               paralelo      1
1113                  turno      1
1114                visando      1
1115             resguardar      1
1116          contaminações      1
1117              derivadas      1
1118                 afluxo      1
1119               corrente      1
1120               procuram      1
1121            legitimação      1
1122              tenderiam      1
1123           reinvestidos      1
1124          fortaleceriam      1
1125                  risco      1
1126                  livre      1
1127               objectar      1
1128               exigível      1
1129               mantenha      1
1130               visíveis      1
1131             disposição      1
1132            judiciárias      1
1133              policiais      1
1134            incriminará      1
1135               objecção      1
1136                ganhará      1
1137                solidez      1
1138              pensarmos      1
1139              depositar      1
1140                agência      1
1141               bancária      1
1142                  banco      1
1143            normalmente      1
1144               trabalha      1
1145           dificilmente      1
1146             compaginar      1
1147                singela      1
1148                    faz      1
1149                ocultar      1
1150                 apreço      1
1151             utilizados      1
1152                  junto      1
1153               deposita      1
1154          direccionados      1
1155            rendimentos      1
1156                    irá      1
1157                receber      1
1158                 maxime      1
1159                  juros      1
1160        correspondentes      1
1161            remuneração      1
1162          paralelamente      1
1163             legislação      1
1164      antibranqueamento      1
1165              preservar      1
1166               economia      1
1167               legítima      1
1168                aumento      1
1169                  massa      1
1170              monetária      1
1171               referida      1
1172           potenciariam      1
1173          exigibilidade      1
1174         corresponderia      1
1175            contraposta      1
1176                  noção      1
1177                reforço      1
1178        censurabilidade      1
1179            consequente      1
1180                gerados      1
1181          eventualmente      1
1182               pretenda      1
1183                riqueza      1
1184              introduza      1
1185                incurso      1
1186               chegados      1
1187                 última      1
1188             orientação      1
1189                 merece      1
1190            preferência      1
1191                coaduna      1
1192               acolhida      1
1193             concepções      1
1194             dominantes      1
1195               esquecer      1
1196               deixaria      1
1197               indefeso      1
1198              colocação      1
1199              circuitos      1
1200                   sujo      1
1201               lograsse      1
1202               singular      1
1203             ressalvado      1
1204                 devido      1
1205               conceber      1
1206              sustentar      1
1207                  penas      1
1208            artificiosa      1
1209            demonstrada      1
1210                repousa      1
1211                justeza      1
1212                fizeram      1
1213                comarca      1
1214               barcelos      1
1215              previsões      1
1216                ligados      1
1217                  punir      1
1218               mediatas      1
1219              imediatas      1
1220              comprador      1
1221                 recebe      1
1222              aplicasse      1
1223            redundância      1
1224               praticam      1
1225              benefício      1
1226             propósitos      1
1227         normativamente      1
1228              definidos      1
1229             transferem      1
1230             dissimulam      1
1231                 apoiou      1
1232                  mista      1
1233              guimarães      1
1234               revogado      1
1235                escassa      1
1236               dividida      1
1237                ligeiro      1
1238                 pendor      1
1239           coincidentes      1
1240               partindo      1
1241           consideração      1
1242                poderia      1
1243               trataria      1
1244       interpenetrassem      1
1245           confundissem      1
1246             legalidade      1
1247             aplicáveis      1
1248                  julho      1
1249               condenou      1
1250             integrasse      1
1251           subscritores      1
1252           precisamente      1
1253                 abaixo      1
1254              enumerado      1
1255                  votou      1
1256             condenação      1
1257                arguido      1
1258              dinheiros      1
1259                 sanção      1
1260               perfilha      1
1261            referiremos      1
1262          integralmente      1
1263                naquele      1
1264               invocado      1
1265               aduzindo      1
1266                resulta      1
1267                 vender      1
1268            consciência      1
1269                   acto      1
1270              recebidos      1
1271             pagamentos      1
1272                 passam      1
1273                   após      1
1274               recepção      1
1275                   mãos      1
1276            compradores      1
1277              colectivo      1
1278            incorreriam      1
1279                 guarda      1
1280               intactos      1
1281                  serem      1
1282            apreendidos      1
1283             declarados      1
1284               perdidos      1
1285                  favor      1
1286                  gasta      1
1287               sustento      1
1288              depósitos      1
1289              bancários      1
1290                 muitas      1
1291             familiares      1
1292                 impede      1
1293                   voto      1
1294         constitucional      1
1295             apreciação      1
1296  inconstitucionalidade      1
1297                alegada      1
1298                sumária      1
1299             confirmada      1
1300                  negou      1
1301                 países      1
1302           utilizaremos      1
1303             igualmente      1
1304             divulgadas      1
1305                parecer      1
1306                emprega      1
1307                começou      1
1308         exclusivamente      1
1309                 ligada      1
1310                  criou      1
1311           determinante      1
1312                 nações      1
1313                 unidas      1
1314            substâncias      1
1315          psicotrópicas      1
1316          oportunamente      1
1317             ratificada      1
1318            instrumento      1
1319             transcrito      1
1320              apreensão      1
1321             transposta      1
1322              reafirmou      1
1323                enuncia      1
1324                  armas      1
1325              lenocínio      1
1326                 órgãos      1
1327                tecidos      1
1328                humanos      1
1329               espécies      1
1330             protegidas      1
1331                 demais      1
1332                 fraude      1
1333                 fiscal      1
1334           acrescentada      1
1335              fevereiro      1
1336            continuando      1
1337               recorrer      1
1338                  misto      1
1339               deixaram      1
1340                constar      1
1341               aditados      1
1342                  abuso      1
1343                 sexual      1
1344               crianças      1
1345            dependentes      1
1346             influência      1
1347             signifique      1
1348             compressão      1
1349                 passou      1
1350             contemplar      1
1351             anteriores      1
1352                duração      1
1353                 mínima      1
1354                  meses      1
1355              pressupõe      1
1356             predicated      1
1357                conexão      1
1358              passarmos      1
1359               unificou      1
1360               integrou      1
1361                assento      1
1362              significa      1
1363             instituído      1
1364                aplique      1
1365            complemente      1
1366              prescreve      1
1367                medidas      1
1368             preventiva      1
1369             repressiva      1
1370               encontra      1
1371             estipulado      1
1372                matéria      1
1373            controversa      1
1374                  leque      1
1375          unitariamente      1
1376         sucessivamente      1
1377            seguramente      1
1378                caberia      1
1379                inicial      1
1380               inerente      1
1381             organizado      1
1382            modificando      1
1383           inicialmente      1
1384            exponencial      1
1385               polémica      1
1386              doutrinal      1
1387               ausência      1
1388             claramente      1
1389           identificado      1
1390             permitindo      1
1391              dilatação      1
1392               tornando      1
1393            dilucidação      1
1394               reflexos      1
1395               aspectos      1
1396                  ocupa      1
1397        comparticipante      1
1398             brevíssimo      1
1399               tomarmos      1
1400                querela      1
1401             enunciamos      1
1402             afirmativa      1
1403            concretizam      1
1404                 resume      1
1405               frisamos      1
1406                incitou      1
1407                estados      1
1408                alargar      1
1409                 graves      1
1410              parágrafo      1
1411             estabelece      1
1412               internas      1
1413               apliquem      1
1414               transpôs      1
1415              dirigidos      1
1416                 espaço      1
1417            comunitário      1
1418                 contêm      1
1419             sustentava      1
1420             defensável      1
1421               ajustava      1
1422                    onu      1
1423                 pontos      1
1424             distinguem      1
1425            nitidamente      1
1426                proémio      1
1427                 aludir      1
1428                inculca      1
1429             participou      1
1430                   peca      1
1431                excesso      1
1432                   cair      1
1433                extremo      1
1434                 oposto      1
1435                    dar      1
1436                 inciso      1
1437             comentário      1
1438                  porto      1
1439             equacionou      1
1440       comparticipantes      1
1441               legítimo      1
1442                indagar      1
1443               presença      1
1444                fazendo      1
1445               completa      1
1446              autonomia      1
1447             estrutural      1
1448                parecem      1
1449          sequentemente      1
1450                  disso      1
1451               auferido      1
1452               distinta      1
1453                  aliud      1
1454                 àquele      1
1455                  tomou      1
1456           considerando      1
1457                   teor      1
1458                aduzida      1
1459                citados      1
1460               conduzir      1
1461                 lógico      1
1462             gramatical      1
1463            estipulando      1
1464               pudessem      1
1465            coincidisse      1
1466              nacionais      1
1467                adopção      1
1468                    ali      1
1469                 ínsita      1
1470                  claro      1
1471                leitura      1
1472             justifique      1
1473              meramente      1
1474       intencionalmente      1
1475                 neutra      1
1476              constatar      1
1477             divergiram      1
1478                    deu      1
1479            estabeleceu      1
1480              converter      1
1481             transferir      1
1482                adoptar      1
1483            contemplada      1
1484             conhecemos      1
1485            fragilidade      1
1486               percurso      1
1487            legislativo      1
1488                 pistas      1
1489                seguras      1
1490             verdadeiro      1
1491                alcance      1
1492             proposição      1
1493             iniciativa      1
1494                  grupo      1
1495              deputados      1
1496            inovatórias      1
1497           introduzidas      1
1498           possibilitar      1
1499               destaque      1
1500               repetido      1
1501                vincado      1
1502               deputado      1
1503             apresentou      1
1504           curiosamente      1
1505            substantivo      1
1506               querendo      1
1507                comenta      1
1508               dissesse      1
1509             contrariar      1
1510            reflectindo      1
1511            ambiguidade      1
1512               enunciar      1
1513            importantes      1
1514              inovações      1
1515            possibilita      1
1516                  nição      1
1517                   faça      1
1518       propositadamente      1
1519               proposto      1
1520               continha      1
1521             construção      1
1522                  obsta      1
1523                ofender      1
1524              consumida      1
1525                   dada      1
1526               duvidosa      1
1527                ciência      1
1528                anónimo      1
1529             descrições      1
1530                 comuns      1
1531                  exige      1
1532                ornadas      1
1533              qualidade      1
1534               oneradas      1
1535                  dever      1
1536            específicos      1
1537              delimitam      1
1538              descrevem      1
1539                 exigir      1
1540                excepto      1
1541              normativo      1
1542                  ajuda      1
1543              implicada      1
1544             subjectiva      1
1545                 curial      1
1546                 destes      1
1547                 levado      1
1548                   cabo      1
1549              evidencia      1
1550               naqueles      1
1551                  casos      1
1552         prolongamentos      1
1553                  tidos      1
1554               naturais      1
1555                censura      1
1556                contida      1
