                        Word  Count
0           responsabilidade    104
1                     artigo    104
2                 sociedades     74
3                     código     44
4                      penal     43
5                       rgit     42
6                     pessoa     42
7                   coletiva     42
8                  sociedade     41
9                 património     38
10                  jurídica     36
11                  criminal     34
12                comerciais     31
13                   acórdão     30
14             personalidade     30
15                  tribunal     28
16              constituição     28
17                     multa     27
18                     norma     25
19                liquidação     25
20                     sobre     25
21                 comercial     24
22                 pagamento     23
23                    regime     22
24                      pena     22
25                associados     22
26            jurisprudência     21
27                   sentido     21
28                       tal     20
29                   pessoas     20
30                   registo     19
31                   decisão     19
32                       lei     18
33         responsabilização     18
34                  acordãos     17
35            constitucional     17
36                   recurso     17
37                     comum     17
38                     geral     17
39                   extinta     17
40                    termos     17
41                    sócios     17
42                 princípio     16
43                 normativo     16
44                  infração     16
45                 coletivas     16
46                  processo     15
47     inconstitucionalidade     15
48                    apenas     15
49                 normativa     15
50                   direito     15
51                  qualquer     15
52                 aplicação     14
53                     facto     14
54                     civil     14
55               subsidiária     13
56                      ente     13
57                     forma     13
58                 infrações     12
59               tributárias     12
60                  entidade     12
61               cumprimento     11
62                 entidades     11
63               patrimonial     11
64                       quo     11
65                tributária     11
66                 respetivo     11
67                     antes     11
68                      face     11
69                       sob     11
70                dissolução     11
71                   prática     10
72              encerramento     10
73                 respetiva     10
74                  aplicada     10
75                     juízo     10
76                      caso     10
77                 recorrida     10
78                       art     10
79                 solidária     10
80                   próprio     10
81                      pois     10
82              constituídas     10
83                     civis     10
84                  natureza     10
85               transmissão     10
86                  gerentes      9
87           administradores      9
88                 república      9
89                  presente      9
90                  extinção      9
91                     falta      9
92                      cada      9
93                  situação      9
94                  sujeitos      9
95         independentemente      9
96                     ainda      9
97                     entes      9
98                  aprovado      8
99                portuguesa      8
100                   âmbito      8
101                associado      8
102                    assim      8
103                responder      8
104                     cuja      8
105               declaração      8
106               legislador      8
107                   sanção      8
108                    penas      8
109                  artigos      7
110                    junho      7
111               fundamento      7
112                   apurar      7
113           prosseguimento      7
114                   multas      7
115                  própria      7
116            insuficiência      7
117                  pessoal      7
118                   objeto      7
119                 critério      7
120            interpretação      7
121                 coletivo      7
122                   outras      7
123                     nome      7
124                atividade      7
125                   gestão      7
126                  imposta      7
127            administração      7
128                autonomia      7
129                  sociais      7
130               ministério      6
131                  público      6
132                  perante      6
133             procedimento      6
134               condenação      6
135                    impõe      6
136                 setembro      6
137                 referido      6
138                 violação      6
139                 prevista      6
140                aplicadas      6
141            relativamente      6
142                jurídicas      6
143              equiparadas      6
144                    então      6
145                  gerente      6
146                   normas      6
147                 jurídico      6
148                  importa      6
149                   efeito      6
150                 enquanto      6
151                  verdade      6
152                    certo      6
153                  sujeito      6
154                 condição      6
155             efetivamente      6
156               respetivos      6
157                 relações      6
158                     após      6
159              patrimónios      6
160                     tais      6
161                imputação      6
162               tributário      6
163                     deve      6
164                qualidade      6
165                comandita      6
166                    causa      6
167                    mesma      6
168                 despacho      5
169         inconstitucional      5
170     intransmissibilidade      5
171                  arguida      5
172                     vier      5
173                    força      5
174                 hipótese      5
175                  simples      5
176                    parte      5
177                   refere      5
178       contraordenacional      5
179                   título      5
180                 imputada      5
181                    casos      5
182                 controlo      5
183                 dimensão      5
184                  questão      5
185                   quanto      5
186                  relação      5
187                  análise      5
188                   agente      5
189                   social      5
190                   edição      5
191                     tipo      5
192                comissões      5
193                especiais      5
194               celebração      5
195               societária      5
196                  passivo      5
197               satisfação      5
198                    nessa      5
199                  censura      5
200                  dívidas      5
201                 chamados      5
202                solidário      5
203                   secção      4
204                 judicial      4
205                      ter      4
206                    crime      4
207          impossibilidade      4
208                declarada      4
209                    autos      4
210                destinado      4
211                  fazendo      4
212                   correr      4
213                    legal      4
214                     aqui      4
215                 disposto      4
216               recorrente      4
217                   poderá      4
218               determinar      4
219               entretanto      4
220                  através      4
221                 remissão      4
222                 entendeu      4
223                 preceito      4
224                   esfera      4
225                    possa      4
226                   coimas      4
227           solidariamente      4
228                 autónoma      4
229                  efeitos      4
230                 comporta      4
231               processual      4
232                    outro      4
233             consequência      4
234                 problema      4
235                   apreço      4
236                    coima      4
237                   órgãos      4
238                referidas      4
239               individual      4
240                  agentes      4
241            possibilidade      4
242                       in      4
243                  janeiro      4
244                constante      4
245                     modo      4
246              associações      4
247                 contrato      4
248               societário      4
249                 autónomo      4
250                     além      4
251               existência      4
252                     sede      4
253                    podem      4
254                     acha      4
255                   medida      4
256                  momento      4
257              pressuposto      4
258                   mesmos      4
259                    culpa      4
260                    todos      4
261                   função      4
262                 próprios      4
263                  membros      4
264                   quotas      4
265                 anónimas      4
266                  coimbra      4
267                  poderes      4
268                    ponto      4
269             pessoalidade      4
270                terceiros      4
271            consequências      4
272                 novembro      3
273                proferido      3
274               apreciação      3
275                 recusada      3
276                     sido      3
277             entendimento      3
278                   ofende      3
279                  central      3
280                   fiscal      3
281                recorrido      3
282                 seguinte      3
283           administrativa      3
284                   atento      3
285             distinguindo      3
286                imputável      3
287              obrigatória      3
288                  similar      3
289                 anterior      3
290                 revogado      3
291                alegações      3
292                constitui      3
293                  solução      3
294                  daquele      3
295                aplicável      3
296            fundamentação      3
297                 plenário      3
298                    deste      3
299              respondendo      3
300                    salvo      3
301                       ac      3
302                 encontra      3
303                     mera      3
304                  pudesse      3
305                 previsão      3
306               verdadeira      3
307                  exposto      3
308                  operada      3
309                  efetiva      3
310                   incide      3
311                     pode      3
312                  contida      3
313                  todavia      3
314               específico      3
315                 limitada      3
316                    trata      3
317                 sindicar      3
318                  assumir      3
319                  somente      3
320                 conceito      3
321                   sucede      3
322                 vertente      3
323                condenada      3
324                 responde      3
325                     nova      3
326                     lado      3
327                   recair      3
328                  decorre      3
329              desaplicada      3
330              fiscalmente      3
331                   exclui      3
332                coletivos      3
333                  valores      3
334               secundário      3
335                   destas      3
336                   partir      3
337              ordenamento      3
338                 mormente      3
339                    desse      3
340               igualmente      3
341                titulares      3
342               invalidade      3
343                autónomos      3
344                  herança      3
345                  jacente      3
346              societários      3
347                  criação      3
348                   acordo      3
349                    nesse      3
350                   centro      3
351              responsável      3
352              tributários      3
353               pecuniária      3
354            autonomamente      3
355                     atos      3
356                   outros      3
357                 resposta      3
358               chamamento      3
359              conseguinte      3
360             incapacidade      3
361                 liquidar      3
362                 programa      3
363               dependente      3
364            personalizado      3
365             inexistência      3
366               ingerência      3
367            interferência      3
368           correspondente      3
369                mecanismo      3
370                    senda      3
371                 assunção      3
372                 eventual      3
373                pressupõe      3
374           designadamente      3
375                     base      3
376                 direitos      3
377                  deveres      3
378          correspondentes      3
379                   página      3
380                exercício      3
381               realização      3
382                    morte      3
383                    ativo      3
384                significa      3
385                    total      3
386                 dirigida      3
387                  editora      3
388                    regra      3
389                    sócio      3
390           primacialmente      3
391                    supra      3
392                obrigação      3
393                  atuação      3
394                  assente      3
395                  relator      2
396                 fernando      2
397                  ventura      2
398                   alínea      2
399              organização      2
400            funcionamento      2
401                  julgada      2
402            materialmente      2
403                incidente      2
404                instância      2
405                  comarca      2
406                    porto      2
407                      lda      2
408                  acusada      2
409              pronunciada      2
410                  alíneas      2
411           representantes      2
412               dissolvida      2
413              consequente      2
414                matrícula      2
415                 referida      2
416                 promoção      2
417                   recaiu      2
418                  resulta      2
419                    prevê      2
420                     fase      2
421                posterior      2
422             literalidade      2
423                   sequer      2
424               originária      2
425            superveniente      2
426               consagrada      2
427                    março      2
428                   motivo      2
429                     tudo      2
430               integraria      2
431             correspondia      2
432                   devida      2
433              fundamentos      2
434                jurídicos      2
435                   fixado      2
436                   recusa      2
437                 admitido      2
438                    final      2
439                 negativo      2
440              obrigatório      2
441             estabelecido      2
442                    ratio      2
443                decidendi      2
444                diferente      2
445              sindicância      2
446               intermédio      2
447                  seguida      2
448                  recusar      2
449                       aí      2
450                 indicado      2
451      interpretativamente      2
452                   deverá      2
453                   aceite      2
454                    dever      2
455                     arts      2
456                 declarou      2
457               colaborado      2
458              dolosamente      2
459                    tanto      2
460                 conforme      2
461                    versa      2
462              inexistindo      2
463         subsidiariamente      2
464                 respeito      2
465            transferência      2
466             desenvolvida      2
467                    funda      2
468                    desde      2
469                   dolosa      2
470               diferentes      2
471                  fiscais      2
472               aduaneiras      2
473         fundamentalmente      2
474                   quadro      2
475                revestida      2
476                 distinta      2
477                   padrão      2
