                      Word  Count
0                    court    329
1                      new    322
2                      see    290
3                     york    277
4                   second    233
5                amendment    223
6                    carry    203
7                    right    198
8                    state    196
9                   public    184
10                    laws    170
11                  heller    167
12                  states    150
13                     law    149
14                    arms    142
15              historical    124
16                 opinion    123
17                     may    107
18                  pistol    104
19                    also    100
20                firearms     98
21                 history     95
22                 statute     88
23                     gun     86
24                   rifle     81
25             respondents     81
26               licensing     80
27                    bear     80
28                carrying     77
29                    ante     77
30          constitutional     73
31                   bruen     72
32                 weapons     72
33                    cite     71
34                scrutiny     69
35                  people     69
36                 firearm     68
37                  courts     68
38              dissenting     67
39                   issue     66
40                  breyer     66
41                     one     65
42                evidence     65
43                  united     63
44                   would     63
45                carriage     62
46                    ibid     60
47               concealed     59
48                     use     57
49                handguns     57
50                   brief     57
51                    case     56
52              regulation     56
53                    city     56
54                 whether     55
55            restrictions     53
56                    keep     51
57                 english     51
58                     rev     51
59                 dissent     51
60               tradition     49
61             regulations     49
62                   armed     49
63                    even     47
64                    need     46
65              prohibited     46
66                 justice     46
67                 without     45
68                 handgun     45
69                  rights     44
70                american     44
71                   shall     43
72                 license     42
73                   cause     42
74             requirement     42
75                   today     42
76                  curiae     42
77                district     41
78                    many     41
79              government     40
80                  surety     40
81                violence     40
82                    home     39
83                  person     39
84                    time     38
85              individual     38
86                   could     38
87                    guns     38
88                    text     37
89                 century     36
90                   peace     36
91                 enacted     36
92                 general     35
93                citizens     35
94                mcdonald     35
95                   first     35
96                  burden     35
97                   amici     35
98                    part     34
99                      et     34
100                 little     34
101                pistols     34
102                regimes     34
103                 proper     33
104                  years     33
105                   stat     33
106            northampton     33
107                example     32
108               majority     32
109             concurring     32
110                  cases     32
111                special     31
112               standard     31
113               practice     31
114                   acts     31
115                    ann     30
116               analysis     30
117                meaning     30
118                 modern     30
119                    two     30
120               statutes     30
121                   thus     30
122                 regime     30
123                   like     30
124                appeals     29
125           constitution     29
126                  early     29
127               founding     29
128                   code     29
129                supreme     28
130                   nash     28
131               decision     28
132                 places     28
133              generally     28
134                   show     28
135                   post     28
136                  rates     28
137                 police     27
138                   held     27
139                   must     27
140             consistent     27
141              different     27
142               question     27
143                possess     26
144            petitioners     26
145                   koch     26
146                applied     26
147             population     26
148                   view     26
149            prohibition     26
150                  crime     25
151                outside     25
152             fourteenth     25
153          circumstances     25
154          jurisdictions     25
155                similar     25
156                     us     25
157               columbia     24
158               approach     24
159                 judges     24
160                  least     24
161                   made     24
162                 common     24
163                  scope     24
164                adopted     24
165                 record     24
166               colonial     24
167                   fear     24
168                unusual     24
169                   mass     24
170                   supp     24
171                    app     23
172                support     23
173                   long     23
174                 terror     23
175                     al     22
176            demonstrate     22
177                  apply     22
178                quoting     22
179                 period     22
180                   west     22
181               consider     22
182                 amicus     22
183                    ban     22
184               licenses     21
185               interest     21
186              including     21
187              dangerous     21
188                purpose     21
189                   upon     21
190                 rather     21
191                omitted     21
192                england     21
193              questions     21
194                 knight     21
195                conduct     20
196                 course     20
197                 simply     20
198              protected     20
199                     ii     20
200                  three     20
201             reasonable     20
202                 manner     20
203              therefore     20
204                    cum     20
205                officer     20
206              explained     20
207                    per     20
208                     go     20
209                circuit     19
210                sources     19
211                provide     19
212           prohibitions     19
213                showing     19
214                require     19
215               officers     19
216                 weapon     19
217                   open     19
218               emphasis     19
219               applying     19
220                     ed     19
221                   well     19
222                   king     19
223                 lawful     19
224              decisions     18
225              applicant     18
226                 county     18
227                holding     18
228           intermediate     18
229               relevant     18
230                  clear     18
231              sensitive     18
232                 reason     18
233                certain     18
234            individuals     18
235                   good     18
236          massachusetts     18
237              tennessee     18
238                 jersey     18
239                  legal     18
240              similarly     18
241                  times     18
242                 edward     18
243                  supra     18
244                   june     17
245              important     17
246                protect     17
247                 beyond     17
248                  point     17
249                  among     17
250                subject     17
251                  texas     17
252                   used     17
253                   bill     17
254                  alito     17
255                 safety     17
256                  based     16
257                   test     16
258                inquiry     16
259                   make     16
260                  given     16
261                  often     16
262             recognized     16
263              determine     16
264                   dead     16
265             understood     16
266            restricting     16
267             possession     16
268             discretion     16
269               although     16
270                  added     16
271                 bureau     16
272                 likely     16
273                  facts     16
274                    eng     16
275                   terr     16
276            association     15
277               ordinary     15
278               protects     15
279             analogical     15
280               publicly     15
281             antebellum     15
282                another     15
283                   much     15
284                 weight     15
285                  later     15
286               shooting     15
287                 permit     15
288               internal     15
289              quotation     15
290                  marks     15
291                    far     15
292               virginia     15
293                 citing     15
294               purposes     15
295                  areas     15
296                 answer     15
297               military     15
298               unlawful     15
299                   slip     14
300                    div     14
301                justify     14
302                  since     14
303              difficult     14
304          understanding     14
305                    way     14
306                   said     14
307                  basis     14
308               identify     14
309               codified     14
310                  think     14
311             considered     14
312                 limits     14
313            territories     14
314               original     14
315                  found     14
316         interpretation     14
317                 speech     14
318            evidentiary     14
319               provided     14
320            restriction     14
321                 nearly     14
322                carried     14
323                    sir     14
324                   john     14
325                    man     14
326                 huntly     14
327                 blacks     14
328               homicide     14
329                violent     14
330              kachalsky     13
331                 nation     13
332                   step     13
333                federal     13
334               judicial     13
335              analogous     13
336                  place     13
337               moreover     13
338                   take     13
339                  small     13
340                america     13
341                   free     13
342               criminal     13
343                hunting     13
344             particular     13
345                 review     13
346                appears     13
347                    apr     13
348                dangers     13
349                    ing     13
350            interpreted     13
351             blackstone     13
352                   fact     13
353                   true     13
354             protection     13
355                terrify     13
356                  lower     13
357                 strict     12
358           ratification     12
359               required     12
360               contrary     12
361                 breach     12
362               adoption     12
363            territorial     12
364              kavanaugh     12
365                  order     12
366                    ark     12
367              necessary     12
368                country     12
369            prohibiting     12
370              concluded     12
371                 extent     12
372               actually     12
373                  urban     12
374              reasoning     12
375                    day     12
376                    act     12
377                allowed     12
378                reasons     12
379                 number     12
380                 health     12
381                  prove     11
382                 denied     11
383           governmental     11
384                   late     11
385                 either     11
386                    iii     11
387                western     11
388            enforcement     11
389                 target     11
390            application     11
391                 upheld     11
392                  alone     11
393                 within     11
394             statistics     11
395              ownership     11
396               category     11
397               analogue     11
398               compared     11
399                 cities     11
400                 pocket     11
401                  large     11
402                   know     11
403                   less     11
404                 killed     11
405                studies     11
406               problems     11
407                 issued     10
408                  makes     10
409              officials     10
410                chicago     10
411               rejected     10
412               reliance     10
413              regarding     10
414            responsible     10
415               requires     10
416                central     10
417                  still     10
418            substantial     10
419               conclude     10
420               colonies     10
421                bearing     10
422                  going     10
423               prohibit     10
424                 injury     10
425                earlier     10
426                   come     10
427                 others     10
428                outlier     10
429               commonly     10
430                defense     10
431               justices     10
432                   four     10
433                   year     10
434                limited     10
435                  words     10
436                 appear     10
437                georgia     10
438                already     10
439                  close     10
440               language     10
441                  types     10
442              standards     10
443               instance     10
444             relatively     10
445                   last     10
446                problem     10
447                suggest     10
448                 intent     10
449                several     10
450                  black     10
451                  death     10
452                   july     10
453                hawkins     10
454             regulating     10
455                   east     10
456                  broad     10
457                 result     10
458            significant     10
459               examples     10
460                serious     10
461                million     10
462              shootings     10
463                  rural     10
464               syllabus      9
465           unrestricted      9
466                  needs      9
467              empirical      9
468            legislative      9
469              interests      9
470             regulatory      9
471                  falls      9
472                  comes      9
473               whatever      9
474                 affray      9
475              continued      9
476                finally      9
477                however      9
478                  short      9
479               personal      9
480                barrett      9
481                 things      9
482             restricted      9
483                 unless      9
484                 deadly      9
485                 claims      9
486             challenged      9
487                    war      9
488            considering      9
489                   fail      9
490              americans      9
491                    hen      9
492              interpret      9
493               concerns      9
494             associated      9
495                address      9
496                wearing      9
497            offensively      9
498                    men      9
499              described      9
500                average      9
501                  cites      9
502                  seven      9
503              homicides      9
504               counties      9
505         superintendent      8
506             certiorari      8
507                 obtain      8
508           applications      8
509              complaint      8
510          substantially      8
511          presumptively      8
512             challenges      8
513                broadly      8
514                applies      8
515                context      8
516              plurality      8
517           legislatures      8
518         reconstruction      8
519              according      8
520              component      8
521               proposed      8
522                nothing      8
523          confrontation      8
524             applicable      8
525                   rely      8
526              statutory      8
527            restrictive      8
528                  began      8
529              consensus      8
530              otherwise      8
531                  lived      8
532       unconstitutional      8
533              territory      8
534               exercise      8
535                  filed      8
536                offense      8
537             applicants      8
538                  local      8
539                 system      8
540               arkansas      8
541                members      8
542              permitted      8
543                    pub      8
544                  adopt      8
545               suggests      8
546             compelling      8
547                service      8
548                 severe      8
549              precedent      8
550              addressed      8
551                burdens      8
552             exceptions      8
553                resolve      8
554                  means      8
555              presented      8
556                finding      8
557              primarily      8
558                  infra      8
559                  every      8
560                 effect      8
561                    put      8
562                   half      8
563                   says      8
564                    say      8
565                 passed      8
566                   ride      8
567                  night      8
568                defence      8
569                charles      8
570                   exec      8
571                    doc      8
572               freedmen      8
573                 single      8
574                 census      8
575                 points      8
576                 higher      8
577             historians      8
578                related      7
579               violates      7
580             especially      7
581              deference      7
582              balancing      7
583              elsewhere      7
584               founders      7
585                 indeed      7
586              existence      7
587             comparable      7
588              naturally      7
589                variety      7
590             justifying      7
591              inherited      7
592                  terms      7
593              regulated      7
594               offenses      7
595                   none      7
596              analogues      7
597               position      7
598               congress      7
599                    tex      7
600               outliers      7
601                insight      7
602             postbellum      7
603                 nature      7
604                 thomas      7
605               official      7
606                citizen      7
607                  agree      7
608              objective      7
609               criteria      7
610                    six      7
611             conditions      7
612               sullivan      7
613               business      7
614                  noted      7
615                 danger      7
616           requirements      7
617                   deny      7
618                     la      7
619                 kansas      7
620                  south      7
621             rensselaer      7
622                 except      7
623                 decide      7
624              guarantee      7
625            appropriate      7
626                instead      7
627                leading      7
628                  third      7
629                  civil      7
630           commentaries      7
631             exhaustive      7
632                   full      7
633      constitutionality      7
634                 engage      7
635               likewise      7
636                   find      7
637                  forms      7
638                neither      7
639               lawfully      7
640                  kinds      7
641               medieval      7
642                 across      7
643                  light      7
644                   line      7
645                  james      7
646                  force      7
647                 degree      7
648                 office      7
649                  armor      7
650               calendar      7
651                  rolls      7
652                 strike      7
653                    mod      7
654                  chief      7
655               property      7
656                  seems      7
657                persons      7
658                  might      7
659                    era      7
660              revolvers      7
661           commonwealth      7
662               carolina      7
663                 openly      7
664              exception      7
665                 mexico      7
666               enforced      7
667                    old      7
668                 school      7
669                 attack      7
670                   sess      7
671               children      7
672                   data      7
673                control      7
674               protests      7
675                 deaths      7
676                experts      7
677                  penal      6
678        distinguishable      6
679               klenosky      6
680                 failed      6
681                satisfy      6
682               violated      6
683                 unique      6
684            westchester      6
685             preventing      6
686                  plain      6
687                 covers      6
688              framework      6
689                demands      6
690              judgments      6
691                   lack      6
692                 making      6
693                 surely      6
694                 assess      6
695                  posed      6
696           specifically      6
697               ratified      6
698           historically      6
699       constitutionally      6
700             department      6
701             concluding      6
702                respect      6
703                  equal      6
704                  sense      6
705              ambiguous      6
706                   best      6
707                framers      6
708                 direct      6
709            essentially      6
710             altogether      6
711            represented      6
712             heightened      6
713                 around      6
714                 secure      6
715                grounds      6
716            contradicts      6
717           overwhelming      6
718             explaining      6
719                origins      6
720                  union      6
721             washington      6
722             additional      6
723                 anyone      6
724              character      6
725                 prison      6
726                   fine      6
727                   dept      6
728                   area      6
729               activity      6
730                   rule      6
731              requiring      6
732                  idaho      6
733             california      6
734                 hawaii      6
735               maryland      6
736                permits      6
737             whatsoever      6
738                arizona      6
739                  young      6
740                  group      6
741                 defend      6
742                  asked      6
743                   road      6
744               intended      6
745              establish      6
746              infringed      6
747                militia      6
748             conclusion      6
749               included      6
750                    end      6
751                 fourth      6
752                various      6
753             irrelevant      6
754                effects      6
755           inconsistent      6
756                  focus      6
757                 relies      6
758                   kind      6
759               employed      6
760                explain      6
761            independent      6
762                   risk      6
763                  never      6
764               argument      6
765              offensive      6
766                perhaps      6
767            opportunity      6
768              centuries      6
769                 matter      6
770                 become      6
771                  towns      6
772                efforts      6
773                   went      6
774                 church      6
775                 almost      6
776                  crown      6
777                private      6
778             illustrate      6
779                society      6
780              identical      6
781                 merely      6
782                  using      6
783                roughly      6
784                 noting      6
785                   face      6
786                andrews      6
787               security      6
788                injured      6
789               southern      6
790               reported      6
791              incidents      6
792                believe      6
793               research      6
794                   tell      6
795            exclusively      6
796               regulate      6
797               injuries      6
798                  study      6
799                  wrong      6
800                present      6
801                   term      5
802               revolver      5
803                 robert      5
804                  adult      5
805              residents      5
806                 relied      5
807             amendments      5
808            methodology      5
809                 invoke      5
810              sometimes      5
811             legitimate      5
812               benefits      5
813                product      5
814                    set      5
815                  forth      5
816                 always      5
817                  fixed      5
818              reference      5
819                 toward      5
820                metrics      5
821                 impose      5
822                 muster      5
823           longstanding      5
824            permissible      5
825                 island      5
826               disputes      5
827             guarantees      5
828                created      5
829             principles      5
830                  world      5
831                suffice      5
832                imposed      5
833            limitations      5
834              upholding      5
835                   bond      5
836               specific      5
837                 unlike      5
838             reasonably      5
839                accused      5
840                prevent      5
841                 slaves      5
842           demonstrates      5
843                   duke      5
844             permitting      5
845                shortly      5
846                  apart      5
847            governments      5
848               entirely      5
849            selfdefense      5
850                reports      5
851                   goes      5
852                  kevin      5
853               capacity      5
854                   writ      5
855                parties      5
856           nevertheless      5
857                dispute      5
858               allowing      5
